fecha,precio_btc,mercado_cap_btc,total_volumen_btc,precio_ethereum,mercado_cap_ethereum,total_volumen_ethereum,precio_tether,mercado_cap_tether, total_volumen_tether,precio_binance,mercado_caps_binance,total_volumen_binance
2022-05-11,28913.48836365432,549294001873.1765,65985702701.50493,2080.910243657776,250066823474.8895,46548009611.49195,0.9959687792379175,82690895711.44499,149603764419.6389,269.00669656703536,44475852347.89696,2297689496.5699925
2022-05-12,29126.11597686014,555266177876.6213,61338080283.57989,1966.6991711336661,238137944005.85858,41621733327.158905,0.9980525086279798,79438155501.21606,132259308337.14517,269.77280092605076,45445655852.13465,5267479590.191646
2022-05-13,29310.728959858257,558053182541.2809,71541696924.39926,2010.214051125259,243391440608.9294,23979529161.232746,1.0006098105286818,78910081379.14339,75813499555.86333,291.05538401729126,49020764852.40805,2677455045.457183
2022-05-14,30189.333177005963,573777699744.01,25759546763.688618,2064.229357512243,249319115268.20465,14395772634.811949,1.0031048134084175,75987316850.90068,54179108733.14907,298.3592181960573,49702725963.90215,1555815081.067778
2022-05-15,31319.309111130002,596346266888.6597,22948123704.172672,2147.047447880575,259350256988.01163,14395455889.043333,1.000853787522889,75895175498.49956,48374792028.868126,311.97562672862404,52549787608.41154,1727805539.1303713
2022-05-16,29923.606993639707,569801943005.2971,28418179221.125336,2025.8886983912162,244741893933.73114,20068743681.95205,1.0013712362217597,75855994702.69917,58842890813.476,298.1658192080871,50065379602.77897,1684110716.251434
2022-05-17,30502.19328027689,581272773175.8237,24964703223.57502,2095.178884796724,253640825085.77072,17005002529.405003,1.000585742630391,74309953980.40013,48961061703.367714,306.5358434449809,51662703575.09275,1584146318.300808
2022-05-18,28772.200501112577,547927169401.20306,26219431165.241817,1915.1771232664505,232056327519.7834,15892119501.206236,1.0002281580012902,74284590322.70355,47953137802.733154,288.249178406239,48512726765.68842,1487684738.3119953
2022-05-19,30382.40624219559,578678245847.8763,29190056577.430664,2023.8482593608173,244359004842.60373,17828306698.714794,1.001081828228837,74305004327.94095,51671115899.792564,307.630493551344,51737725724.41182,1444186202.1248186
2022-05-20,29256.813374416255,557201657280.7389,25980877919.56809,1963.9909395294865,237366807798.8157,14638100162.773735,1.0012535537972191,73306682137.62425,47031193645.86664,302.90843357288986,50943276041.32551,1752120030.7295442
2022-05-21,29491.507947760598,561696351558.8424,13561006428.368963,1978.1471325624789,239102942424.56775,7551508571.492984,1.0008286824717343,73335816773.29922,29398599782.78087,312.8154289324993,52595859004.497536,1312260645.3703418
2022-05-22,30351.050417138096,578090387085.146,17199930154.801018,2046.6463496545232,247730054115.44598,9623174527.738039,1.000241015724455,73292755418.56763,33846701614.601044,319.8494390456595,53787029351.10897,1764074093.06145
